band,wavelength,mean,stdev,stdev/mean,median,min,max
1,398.08,0.048642832206478,0.031611280275663,0.6498651258931665,0.042705692350864,5.8e-14,0.341468006372452
2,400.292,0.044895503274822,0.03218796659749,0.7169530186677168,0.04116759262979,7.18e-13,1.01021468639374
3,402.503,0.042178079499679,0.052619822487263,1.2475632629898066,0.039058573544025,6e-13,4.94740629196167
4,404.715,0.043649912369931,0.02239375101225,0.5130308354908938,0.04214832931757,3.43e-13,0.178700402379036
5,406.927,0.035611222772313,0.021172710654303,0.5945516330532843,0.034567080438137,8.19e-13,0.927424550056458
6,409.139,0.03521845519215,0.017432040315274,0.4949689082092251,0.034108065068722,2.44e-13,0.45252925157547
7,411.351,0.034000557045984,0.015833271083732,0.46567681412743667,0.033691614866257,1.9883e-11,0.124761156737804
8,413.563,0.034418830157157,0.015794354195788,0.45888701398829346,0.033833291381598,3.89e-13,0.137779712677002
9,415.775,0.030287292464415,0.013411117436856,0.4427968413687993,0.03011935018003,1.4702e-11,0.105322949588299
10,417.986,0.030088814622599,0.012981995784101,0.43145587311872796,0.029691463336349,3.38e-12,0.119661197066307
11,420.198,0.028012655054263,0.011934233408616,0.42603007053413283,0.027787998318672,1.085e-12,0.102552033960819
12,422.41,0.029131039134968,0.012003827050644,0.41206312603641304,0.02881324198097,1.495e-11,0.115838497877121
13,424.622,0.027622923163699,0.011661431092939,0.4221649904259232,0.027507612481713,2.3019e-11,0.104442112147808
14,426.834,0.029450847060293,0.011679269209564,0.3965681932901188,0.029193850234151,2.7176e-11,0.107962265610695
15,429.046,0.027326934712416,0.010838561125893,0.3966255725333327,0.027315391227603,1.0151e-11,0.097548149526119
16,431.258,0.02937550711019,0.012037379436796,0.409776055665789,0.02896648272872,6.714e-12,0.102404579520226
17,433.469,0.03076498451839,0.012787473859452,0.41565026147853873,0.030237727798522,5.1924e-11,0.117057830095291
18,435.681,0.033604627913793,0.013416961234073,0.39925933024736804,0.032962603494525,5.742e-12,0.105865865945816
19,437.893,0.032939843865533,0.012437305900043,0.3775763464700852,0.03308354690671,2.125e-12,0.100672885775566
20,440.105,0.035677966169095,0.012663463431506,0.3549379292386727,0.035894110798836,1.52522e-10,0.112213283777237
21,442.317,0.033544126313524,0.011929373545206,0.35563226282022525,0.03387251868844,7.8704e-11,0.100292235612869
22,444.529,0.036770111421754,0.012453359378666,0.33868157851973,0.036980323493481,0.000653728493489,0.11302412301302
23,446.741,0.035478880233963,0.011893332346324,0.3352228781713022,0.035933755338192,0.001339268870652,0.102516509592533
24,448.952,0.038622246410085,0.012414028277937,0.321421704634339,0.038868442177773,0.00123759591952,0.108559884130955
25,451.164,0.036504113141379,0.012178532763582,0.3336208365455975,0.036796379834414,4.7474e-11,0.098757535219193
26,453.376,0.039106135320721,0.012420113714778,0.3176001313583398,0.039331831037998,0.001689560245723,0.111398532986641
27,455.588,0.037370687898822,0.012058569074166,0.32267452787632817,0.037803370505571,0.001076779793948,0.102241337299347
28,457.8,0.038903096016751,0.01217446950373,0.31294346081062246,0.039288222789764,0.003605244448408,0.105800278484821
29,460.012,0.038672762490071,0.012343404414037,0.3191756579894207,0.039067182689905,0.001956823049113,0.10200235247612
30,462.224,0.039393997219174,0.012281140965135,0.3117515822729834,0.039700087159872,7.25387e-10,0.104716062545776
31,464.435,0.039209867959965,0.012564570134226,0.3204440817565359,0.039343822747469,0.000698553805705,0.10513036698103
32,466.647,0.040373641190226,0.012562031715963,0.3111443839502919,0.040451120585203,0.001982013694942,0.10605987906456
