,Date_Time,Code,Area,Label,Pamb,Tcuv,Tleaf,Tamb,Ttop,PARtop,Impeller speed,RH,E,VPD,GH2O,A,LA,Time of day,Area factor,gs,E_corrected,gs_corrected,A_corrected,WUE_intrinsic,WUE_instantaneous
2022-01-12 11:56:14,1641988574000000000,MP_001,8,qc3,97.54,22.53,20.43,21.69,22.76,899.7,7,26.4,1.051303,17.50195,60.06776,7.931406,,noon,,0.0608132530384351,,,,,
2022-02-13 11:57:29,1644753449000000000,MP_005,8,qc3,97.916,24.45,22.41,23.79,25.34,1500.1,7,70.77,0.3410375,5.674414,60.10091,3.537147,,noon,,0.060847231217789705,,,,,
2022-03-16 12:38:15,1647434295000000000,MP_005,8,qc3,98.41,12.2,11.47,10.85,12.62,1249.8,7,50.44,0.4568815,6.544348,69.81315,1.953223,3.78,noon,2.1164021164021167,0.07082219500473362,0.9669449735449737,0.14988824339626167,4.133805291005292,27.579249695232548,4.275119478464329
2022-04-14 12:14:34,1649938474000000000,MP_005,8,qc3,97.27,21.03,20.27,19.24,25.02,1799.8,7,43.07,0.2714482,13.65151,19.88412,0.6428671,5.63,noon,1.4209591474245116,0.019965138204873938,0.3857168028419183,0.028369645761810214,0.9134878863232683,32.19948158651172,2.3682864723361585
2022-05-09 11:40:30,1652096430000000000,MP_005,8,qc3,97.062,28.94,28.33,27.96,30.57,1558.3,7,23.02,0.1614246,30.98026,5.210563,0.1532057,4.3,noon,1.8604651162790697,0.005216109707805597,0.3003248372093023,0.009704390154056925,0.28503386046511625,29.37164066368021,0.949085207582983
2022-06-27 11:18:22,1656328702000000000,MP_001,8,qc3,96.92,29.4,29.85,27.22,29.9,1699.7,7,39.85,0.0804,27.36584,2.937279,0.5255418,3.32,noon,2.4096385542168677,0.002939040792408099,0.19373493975903616,0.007082026005802649,1.2663657831325301,178.8140543532225,6.536589552238805
2022-07-27 10:39:00,1658918340000000000,MP_005,8,qc3,96.518,31.85,31.99,30.71,34.02,1749.9,7,25.17,0.6979723,38.13232,18.30396,1.569303,6.9,noon,1.1594202898550725,0.018372590850617567,0.8092432463768117,0.021301554609411674,1.8194817391304348,85.41544373134778,2.2483743266029323
2022-08-17 11:18:52,1660735132000000000,MP_005,8,qc3,96.686,29.89,29.16,28.48,30.45,1699.1,7,51.98,0.2921871,19.78557,14.76769,0.7580709,1.88,noon,4.25531914893617,0.014812331616630939,1.2433493617021276,0.0630311983686423,3.2258336170212765,51.1783640563958,2.5944708031258052
2022-09-07 12:17:50,1662553070000000000,MP_005,8,qc3,96.87,27.81,27.93,26.66,28.87,1499.9,7,53.65,0.2655599,18.71131,14.19248,1.704009,4.28,noon,1.8691588785046729,0.014233706857121541,0.4963736448598131,0.026605059546021572,3.1850635514018695,119.71646016774854,6.416665317316357
2022-12-01 12:47:39,1669898859000000000,MP_001,8,qc3,97.59,24.34,24.41,23.41,24.4,1149.7,7,28.78,0.0795,22.80162,3.485322,-6.449288,3.87,noon,2.0671834625322996,0.003487802839993856,0.16434108527131783,0.007209928351408487,13.33186149870801,1849.0976399375147,81.12311949685534
2023-01-11 12:47:54,1673441274000000000,MP_001,8,qc3,97.91,21.23,21.25,20.34,21.28,1201.8,7,31.79,0.6877307,17.89627,38.42872,5.771262,4.25,noon,1.8823529411764706,0.038732483214768375,1.294551905882353,0.07290820369838753,10.863552,149.00314983676196,8.391746943970947
2023-02-26 12:38:02,1677415082000000000,MP_001,8,qc3,97.77,21.42,21.61,20.31,21.48,1198.2,7,50.6,0.5549073,13.46002,41.22633,6.162094,3.5,noon,2.2857142857142856,0.041576132316531636,1.2683595428571428,0.09503115958064373,14.084786285714284,148.21229529207093,11.104726861585709
2023-04-24 12:24:54,1682339094000000000,MP_001,8,qc3,97.32,25.88,25.97,24.68,25.83,1800.4,7,68.76,0.4544952,11.2265,40.48415,3.300286,5.37,noon,1.48975791433892,0.04082141948358909,0.6770878212290502,0.06081403275022583,4.916627188081937,80.8469191358417,7.261432023924566
2023-05-22 13:13:13,1684761193000000000,MP_001,8,qc3,96.73,31.95,33.12,30.06,32.81,998.8,7,31.23,2.019824882,38.35519,0.000131,3.17,3.86,noon,2.072538860103627,1.31000003502245e-07,4.186165558549224,2.71502597932114e-07,6.569948186528498,24198472.635503974,1.5694429889689812
2023-07-26 12:21:46,1690374106000000000,MP_001,8,qc3,96.64,39.06,40.15,37.84,40.48,1601.2,7,33.15,-0.2208284,55.68956,-3.965347,0.2897253,3.69,noon,2.1680216802168024,-0.003962140619914132,0.47876075880758817,-0.008590006764041478,0.6281307317073171,-73.1234269030762,1.31199293206852
