,Date_Time,Code,Area,Label,Pamb,Tcuv,Tleaf,Tamb,Ttop,PARtop,Impeller speed,RH,E,VPD,GH2O,A,LA,Time of day,Area factor,gs,E_corrected,gs_corrected,A_corrected,WUE_intrinsic,WUE_instantaneous,Area factor std,E_corrected_std,gs_corrected_std,A_corrected_std
2022-01-12 11:38:07,1641987487000000000,MP_001,8,ph2,97.55,21.83,19.66,22.5,23.78,899.7,7,26.32,0.4479191,16.64957,26.90275,2.940431,,noon,3.47,0.027051271139725358,1.5542792770000002,0.093867910854847,10.20329557,108.69844100161028,6.564647499961487,1.43,0.640524313,0.03868331772980726,4.20481633
2022-02-13 11:49:15,1644752955000000000,MP_005,8,ph2,97.912,23.68,24.12,23.38,23.49,1500.3,7,71.46,-0.2212868,9.580305,-23.09809,0.2542706,,noon,3.47,-0.022989718858110342,0.767865196,-0.07977432443764289,0.8823189820000001,-11.060187450282722,1.149054530139168,1.43,-0.316440124,-0.03287529796709779,0.363606958
2022-03-16 12:27:38,1647433658000000000,MP_005,8,ph2,98.42,11.62,10.91,10.86,11.88,1249.5,7,58.07,0.8362817,5.242969,159.5054,1.720362,,noon,3.47,0.1648723447549123,2.9018974990000004,0.5721070362995457,5.9696561400000006,10.434509211095225,2.0571560994339584,1.43,1.195882831,0.2357674529995246,2.46011766
2022-04-14 12:29:45,1649939385000000000,MP_005,8,ph2,97.266,21.15,20.44,19.17,23.68,1623.0,7,40.42,-0.00248,14.51328,-0.1709112,0.236027,,noon,3.47,-0.0001709052388531717,0.0086056,-0.0005930411788205058,0.81901369,-1381.040169299759,95.17217741935484,1.43,-0.0035464,-0.0002443944915600355,0.33751860999999994
2022-05-09 11:22:16,1652095336000000000,MP_005,8,ph2,97.078,27.75,27.03,27.78,30.19,1641.1,7,27.29,0.6252265,26.94341,23.20517,0.9285717,3.14,noon,2.5477707006369426,0.023315586766236792,1.5929337579617835,0.05940276883117654,2.3657877707006367,39.826220515481985,1.4851764920392847,,,,
2022-06-27 11:09:04,1656328144000000000,MP_001,8,ph2,96.92,28.18,28.96,27.45,28.87,1699.7,7,45.0,0.7997523,24.2142,33.02823,0.266343,,noon,3.47,0.033252366080602926,2.775140481,0.11538571029969216,0.92421021,8.009745813407415,0.3330318649911979,1.43,1.1436457889999998,0.04755088349526218,0.38087049
2022-07-27 10:27:48,1658917668000000000,MP_005,8,ph2,96.52,32.36,33.12,30.87,33.66,1749.7,7,25.69,0.3238007,40.88009,7.920742,-0.1990121,6.99,noon,1.144492131616595,0.00793356643528035,0.3705873533619456,0.009079904360835878,0.22776778254649496,25.084821766286435,0.6146129393790687,,,,
2022-08-17 10:48:29,1660733309000000000,MP_005,8,ph2,96.69,29.18,28.54,28.5,29.64,1699.5,7,54.0,0.0455,18.30619,2.487233,-0.2410998,1.72,noon,4.651162790697675,0.0024884961570943464,0.2116279069767442,0.01157440073067138,1.1213944186046512,96.8857433485115,5.298896703296704,,,,
2022-09-07 12:03:53,1662552233000000000,MP_005,8,ph2,96.88,28.64,28.71,27.14,29.35,1499.9,7,49.44,-0.0616,21.2818,-2.893966,0.2219546,2.51,noon,3.1872509960159365,-0.002892257817186495,0.1963346613545817,-0.009218351608562535,0.7074250199203188,-76.74094566573288,3.603159090909091,,,,
2022-12-01 12:41:14,1669898474000000000,MP_001,8,ph2,97.6,24.49,24.46,22.97,24.35,1146.1,7,29.3,0.0739,22.6549,3.26203,-7.23034,2.53,noon,3.16205533596838,0.0032642030465845,0.23367588932806324,0.01032159066113676,22.862735177865616,2215.03990309839,97.83951285520976,,,,
2023-01-11 12:36:45,1673440605000000000,MP_001,8,ph2,97.91,22.01,22.07,20.76,22.05,1200.0,7,30.2,-0.00663,19.29303,-0.3437971,-0.4443054,2.67,noon,2.9962546816479403,-0.0003437729799686589,0.019865168539325843,-0.0010300314006551578,1.3312521348314608,-1292.4383994358907,67.01438914027149,,,,
2023-02-26 12:32:47,1677414767000000000,MP_001,8,ph2,97.78,22.26,22.52,21.22,22.21,1198.2,7,47.08,0.2699693,15.27518,17.67372,3.17547,2.1,noon,3.8095238095238093,0.017737697776314943,1.0284544761904761,0.0675721820050093,12.09702857142857,179.02379666431054,11.762337421329017,,,,
2023-04-24 12:17:01,1682338621000000000,MP_001,8,ph2,97.33,25.7,25.54,24.81,25.65,1800.4,7,70.28,0.3116718,10.04612,31.02409,2.957179,2.92,noon,2.73972602739726,0.031221768973591,0.8538953424657534,0.0855390930783315,8.101860273972603,94.71529311812333,9.488118591415715,,,,
2023-05-22 12:51:37,1684759897000000000,MP_001,8,ph2,96.73,31.6,32.36,29.4,32.61,998.8,7,32.77,1.214950682,35.59446,8.74e-05,1.96,2.38,noon,3.361344537815126,8.740000155893063e-08,4.083867838655462,2.93781517845145e-07,6.588235294117647,22425628.89061785,1.6132342069832264,,,,
