,Date_Time,Code,Area,Label,Pamb,Tcuv,Tleaf,Tamb,Ttop,PARtop,Impeller speed,RH,E,VPD,GH2O,A,LA,Time of day,Area factor,gs,E_corrected,gs_corrected,A_corrected,WUE_intrinsic,WUE_instantaneous
2022-01-12 12:16:17,1641989777000000000,MP_001,8,csi5,97.51,22.53,20.35,22.51,23.63,898.6,7,30.55,2.413873,16.21555,148.8616,12.65806,,noon,,0.15352569817793565,,,,,
2022-02-13 12:20:55,1644754855000000000,MP_005,8,csi5,97.896,24.62,22.68,24.76,25.36,1500.3,7,71.21,1.824356,5.759755,316.7419,11.22955,,noon,,0.3386314442994166,,,,,
2022-03-16 13:02:41,1647435761000000000,MP_005,8,csi5,98.38,12.03,11.38,10.86,12.4,1249.8,7,60.5,1.986807,5.097706,389.7454,9.50068,9.21,noon,1.15125,0.42342453572354877,2.2873115587500004,0.48746749675173556,10.93765785,22.43771722808934,4.78188369579934
2022-04-14 12:49:41,1649940581000000000,MP_005,8,csi5,97.252,21.66,20.95,19.86,23.62,1017.4,7,40.39,0.5831155,15.00821,38.85311,2.881956,8.2,noon,1.025,0.039163646626609136,0.5976933875,0.04014273779227436,2.9540048999999997,73.58752946263945,4.942341611567519
2022-05-09 11:58:19,1652097499000000000,MP_005,8,csi5,97.038,28.14,27.57,28.39,30.35,1581.0,7,26.61,1.170904,28.22812,41.48007,2.44137,8.32,noon,1.04,0.04183420999160129,1.21774016,0.043507578391265345,2.5390248,58.358219277718725,2.0850300280808676
2022-06-27 11:40:26,1656330026000000000,MP_001,8,csi5,96.9,28.76,29.46,27.51,29.99,1698.7,7,45.52,0.8319232,24.64419,33.75739,3.878405,9.83,noon,1.22875,0.033991566852849535,1.022225632,0.04176713777043887,4.76559014375,114.09903570464185,4.661974807289903
2022-07-27 11:00:51,1658919651000000000,MP_005,8,csi5,96.52,32.25,32.28,31.75,33.5,1749.7,7,27.03,1.486171,37.74552,39.37343,4.103529,5.82,noon,1.3745704467353952,0.0396923738578831,2.0428467353951887,0.05455996406581869,5.640589690721649,103.38331022207227,2.7611418874409477
2022-08-17 11:56:22,1660737382000000000,MP_005,8,csi5,96.672,30.31,30.2,29.58,31.53,1699.5,7,55.55,1.845485,20.29408,90.9371,5.773722,6.49,noon,1.2326656394453004,0.09265667745788893,2.27486594761171,0.1142147025675056,7.117068721109399,62.313069693482916,3.12856620346413
2022-09-07 12:51:55,1662555115000000000,MP_005,8,csi5,96.86,27.95,28.18,27.24,28.98,1499.7,7,60.13,1.423768,16.54802,86.03856,4.863148,10.84,noon,1.355,0.0875763026469111,1.92920564,0.11866589008656454,6.58956554,55.53041008829947,3.415688511049553
2022-12-01 13:32:26,1669901546000000000,MP_001,8,csi5,97.62,23.83,23.88,23.04,23.83,1151.5,7,33.34,0.00927,20.66571,0.4487358,-5.045831,5.38,noon,1.4869888475836432,0.0004487768984205172,0.013784386617100373,0.0006673262430044866,7.503094423791822,11243.517698346199,544.3183387270766
2023-01-11 13:20:42,1673443242000000000,MP_001,8,csi5,97.91,20.2,20.19,19.5,20.25,1198.2,7,34.68,1.111949,16.0255,69.38627,5.765698,8.29,noon,1.03625,0.07038292482143878,1.15225715125,0.07293430584621592,5.9747045524999995,81.91898837150566,5.185218027085774
2023-02-26 13:06:47,1677416807000000000,MP_001,8,csi5,97.78,20.81,20.97,19.28,20.89,1201.8,7,55.7,1.414135,11.60738,121.8307,8.038721,7.88,noon,1.015228426395939,0.12493706114599161,1.435670050761421,0.1268396559857783,8.16113807106599,64.34216497702458,5.684549919208563
2023-04-24 13:00:39,1682341239000000000,MP_001,8,csi5,97.31,25.9,27.08,25.23,25.76,1800.4,7,68.98,1.626465,13.54273,120.0987,11.31262,11.14,noon,1.3925,0.12311627229625013,2.2648525125,0.1714394091725283,15.752823350000002,91.88566051430523,6.95534179954687
2023-05-22 13:51:13,1684763473000000000,MP_001,8,csi5,96.72,32.43,33.38,30.67,33.42,998.8,7,31.98,6.488885044,38.35402,0.000443,10.7,7.23,noon,1.106500691562932,4.4300004005081993e-07,7.179955788658367,4.901798506786388e-07,11.839557399723372,24153496.68765836,1.6489735798130436
2023-07-26 11:57:21,1690372641000000000,MP_001,8,csi5,96.65,38.96,39.48,36.95,40.68,1601.2,7,39.96,1.409416,47.87381,29.44023,2.146747,10.06,noon,1.2575,0.029618182264910385,1.77234062,0.03724486419812481,2.6995343525,72.48071406945593,1.5231464663378307
