,max,mean,median,min,stdev,band
1,0.567842841148376,0.017650957626659,0.0,0.0,0.037932806804417,1
2,2.17771673202515,0.015227031621447,0.0,0.0,0.038380194601911,2
3,21.3908081054688,0.017647968478309,0.0,0.0,0.245163915111278,3
4,0.241422116756439,0.010797420486493,0.0,0.0,0.020448986917943,4
5,5.50814723968506,0.0113487152725,0.0,0.0,0.040393854619159,5
6,1.5783154964447,0.011040808432097,0.0,0.0,0.025102764203419,6
7,0.11169309169054,0.009683612997188,0.0,0.0,0.016644877586082,7
8,0.115261733531952,0.008719701162064,0.0,0.0,0.015182222437191,8
9,0.119049787521362,0.008694224578994,0.0,0.0,0.014551700419207,9
10,0.121597237884998,0.008262305947026,0.0,0.0,0.013896830662154,10
11,0.086745344102383,0.007543947534498,0.0,0.0,0.012304363675625,11
12,0.10279157012701,0.007437958235911,0.0,0.0,0.012299593004726,12
13,0.088326498866081,0.006929896585437,0.0,0.0,0.011228464992956,13
14,0.082352563738823,0.00767823152984,0.0,0.0,0.012499529467546,14
15,0.079648189246655,0.00728823842679,0.0,0.0,0.011602112943755,15
16,0.082949340343475,0.007300096249266,0.0,0.0,0.011892426181778,16
17,0.078671246767044,0.007300456853434,0.0,0.0,0.011647419150994,17
18,0.098356351256371,0.007705761812573,0.0,0.0,0.012483513758858,18
19,0.078353308141232,0.008196690492841,0.0,0.0,0.012889977382399,19
20,0.081506974995136,0.008423434449639,0.0,0.0,0.013415760827008,20
21,0.076915591955185,0.008133549412239,0.0,0.0,0.012652745068679,21
22,0.076987192034721,0.00847247610549,0.0,0.0,0.013399510042317,22
23,0.076927594840527,0.008314082593961,0.0,0.0,0.012840364287777,23
24,0.082113303244114,0.009060341153125,0.0,0.0,0.014064890749718,24
25,0.086273998022079,0.008859633659798,0.0,0.0,0.013631533619051,25
26,0.081133380532265,0.008591705297517,0.0,0.0,0.013374809550439,26
27,0.081570476293564,0.008267554040329,0.0,0.0,0.012739041223667,27
28,0.081401139497757,0.00898529648075,0.0,0.0,0.013891590428476,28
29,0.077330268919468,0.008539189371439,0.0,0.0,0.013091151894175,29
30,0.08359007537365,0.009185934265608,0.0,0.0,0.014140364905699,30
31,0.073189131915569,0.008586446905103,0.0,0.0,0.013153890249629,31
32,0.083154790103436,0.009391326856306,0.0,0.0,0.014454592901737,32
33,0.075444720685482,0.008519812733443,0.0,0.0,0.013093155644352,33
34,0.08025798946619,0.008895380295977,0.0,0.0,0.01368917566404,34
35,0.082616597414017,0.008504301286393,0.0,0.0,0.013057087377256,35
36,0.078043602406979,0.008568925003037,0.0,0.0,0.013163454232358,36
37,0.084331840276718,0.008600212860796,0.0,0.0,0.013228895561899,37
38,0.085517816245556,0.008896423056967,0.0,0.0,0.013673737018276,38
39,0.078894786536694,0.008573760987421,0.0,0.0,0.013153335048011,39
40,0.081565201282501,0.008629202982397,0.0,0.0,0.013247444980198,40
41,0.083633489906788,0.008335385201785,0.0,0.0,0.012842419101046,41
42,0.080018602311611,0.008571261843678,0.0,0.0,0.013214434485507,42
43,0.083622589707375,0.008336541941296,0.0,0.0,0.012871321982176,43
44,0.089221514761448,0.008843260449083,0.0,0.0,0.013634211672156,44
45,0.086678504943848,0.008532292344559,0.0,0.0,0.013109060056684,45
46,0.087596952915192,0.008915669401887,0.0,0.0,0.013701396986989,46
47,0.085587427020073,0.008500683041925,0.0,0.0,0.013090893174141,47
48,0.087017312645912,0.008978643071923,0.0,0.0,0.013786089126783,48
49,0.086306497454643,0.008574907804739,0.0,0.0,0.013158864190826,49
50,0.092795886099339,0.009216753187943,0.0,0.0,0.014166427070248,50
51,0.091153852641582,0.009188714756667,0.0,0.0,0.014120048217699,51
52,0.09083341807127,0.009436847800322,0.0,0.0,0.01442830386057,52
53,0.095147125422955,0.009501442104873,0.0,0.0,0.014575373940255,53
54,0.088254362344742,0.009883731384091,0.0,0.0,0.015079963430175,54
55,0.093813955783844,0.009979040819384,0.0,0.0,0.015237188503102,55
56,0.092075072228909,0.010717797216025,0.0,0.0,0.016271640860693,56
57,0.091966301202774,0.01068120552127,0.0,0.0,0.016307410795836,57
58,0.099136985838413,0.011911817284113,0.0,0.0,0.018019617855518,58
59,0.094428069889545,0.011825386050399,0.0,0.0,0.017941341542266,59
60,0.100198328495026,0.013024118499532,0.0,0.0,0.019593211341799,60
61,0.102374151349068,0.013433250965639,0.0,0.0,0.020287473234924,61
62,0.10179491341114,0.01433499344403,0.0,0.0,0.021545950389197,62
63,0.107013456523418,0.014241325211967,0.0,0.0,0.021481322659906,63
64,0.113268814980984,0.015007603015376,0.0,0.0,0.022571210450118,64
65,0.113999180495739,0.014811895392487,0.0,0.0,0.022402670302694,65
66,0.115474432706833,0.015620252851286,0.0,0.0,0.023515499794609,66
67,0.116094268858433,0.015825128037719,0.0,0.0,0.0239676879008,67
68,0.119365483522415,0.016211097670493,0.0,0.0,0.02445818928541,68
69,0.118536755442619,0.016185896128584,0.0,0.0,0.024569709732002,69
70,0.121366009116173,0.016605422040014,0.0,0.0,0.025108292444452,70
71,0.119008786976337,0.016358617600886,0.0,0.0,0.024871334009784,71
72,0.121600262820721,0.016790487878346,0.0,0.0,0.02543220399641,72
73,0.121727861464024,0.016433477593611,0.0,0.0,0.025042620227977,73
74,0.12097392231226,0.016640428255466,0.0,0.0,0.025255544075826,74
75,0.123641461133957,0.016208812330726,0.0,0.0,0.024771374822303,75
76,0.119632191956043,0.016146911513215,0.0,0.0,0.024566451996821,76
77,0.116233721375465,0.015384378133737,0.0,0.0,0.02358927496196,77
