band,wavelength,mean,stdev,stdev/mean,median,min,max
1,398.08,0.059872262086371,0.042181634400517,0.7045271538206838,0.052745018154383,3.5e-14,0.628517031669617
2,400.292,0.064740569207781,0.05809880466477,0.897409543593992,0.056810267269611,1.603e-12,2.79971551895142
3,402.503,0.065546962649365,0.211883406163005,3.2325434711055623,0.057184047996998,5e-15,15.9606323242188
4,404.715,0.061333279858492,0.037503944321234,0.611477886194298,0.056455224752426,2.13e-13,0.63110077381134
5,406.927,0.044808563587885,0.049111412145966,1.0960273709654103,0.040827549993992,8.3e-14,2.61857414245606
6,409.139,0.040666570051687,0.024878746687913,0.611773912977963,0.038081964477897,1.241e-12,1.2053074836731
7,411.351,0.040351691372339,0.021498130538519,0.5327690068837095,0.038191802799702,4e-15,0.171969816088676
8,413.563,0.038401611818314,0.02161308125761,0.5628170338231107,0.035984642803669,1.71e-13,0.426799327135086
9,415.775,0.033981709523883,0.01770388477511,0.5209827587593076,0.032159712165594,6.7e-14,0.132447943091393
10,417.986,0.033088581637545,0.017473864376376,0.5280934845677618,0.031187120825052,9e-15,0.155007988214493
11,420.198,0.027632579452566,0.014141118720124,0.5117552903230985,0.026165211573243,3.92e-13,0.131745606660843
12,422.41,0.029684887725136,0.015912163970974,0.5360358482171452,0.027809279970825,6e-15,0.310303300619125
13,424.622,0.027129877681287,0.013664428201569,0.5036671511052969,0.02564400807023,7.95e-13,0.252968907356262
14,426.834,0.029281455846561,0.014781221453867,0.5047980377520402,0.027705242857337,2.6e-14,0.133948221802711
15,429.046,0.027475794628416,0.013212549952313,0.4808796299069845,0.026137847453356,3.283e-12,0.125858724117279
16,431.258,0.029190841243529,0.014517105844985,0.4973171456030969,0.027670817449689,5.3e-14,0.120549120008945
17,433.469,0.027835244584905,0.013550542871631,0.4868124233756305,0.026500999927521,1.476e-12,0.112532749772072
18,435.681,0.033168581835356,0.015791368725352,0.4760941786338062,0.031638715416193,5.076e-12,0.127151265740395
19,437.893,0.030784891807999,0.014176804695634,0.46051175960119395,0.029488202184439,6.028e-12,0.127290368080139
20,440.105,0.034418957522635,0.015759118246678,0.45786157922750287,0.033098738640547,1.0932e-11,0.13627003133297
21,442.317,0.031992278025422,0.014450562261947,0.45168906854535845,0.030900217592716,8.18e-13,0.133253812789917
22,444.529,0.034060789990954,0.015158899608465,0.4450542577694458,0.032915469259024,4.75e-13,0.141831040382385
23,446.741,0.031602533837398,0.013805355027857,0.436843295505626,0.030468486249447,5.79e-13,0.127957686781883
24,448.952,0.035122578672347,0.014910564397861,0.42452931878833006,0.034099206328392,3.434e-12,0.140377685427666
25,451.164,0.033214950253045,0.014387377668013,0.4331596934032448,0.031970087438822,1.752e-12,0.142799496650696
26,453.376,0.033911256788605,0.014352053340799,0.42322387018170426,0.032940607517958,1.264e-12,0.135728985071182
27,455.588,0.033876182925989,0.01433814555996,0.4232515095129008,0.032667897641659,1.1368e-11,0.141430407762527
28,457.8,0.033569326779154,0.013972865064992,0.416239061239349,0.032574489712715,1.895e-12,0.128401607275009
29,460.012,0.032938576264965,0.014066713562312,0.427058942959657,0.031800966709852,3.9131e-11,0.139725491404533
30,462.224,0.035180270446617,0.014625653090407,0.4157345269019508,0.034094780683517,1.2463e-11,0.138118878006935
31,464.435,0.034825033960865,0.014823934930977,0.42566892964513847,0.033505074679852,1.056e-11,0.151723742485046
32,466.647,0.037005336117983,0.015409314786957,0.41640791311361003,0.035809889435768,2.06e-12,0.143301457166672
33,468.859,0.034118284855526,0.014467773197916,0.4240474941568674,0.032856203615665,2.18e-13,0.143246158957481
34,471.071,0.034980767627216,0.014475834759141,0.41382267288721253,0.033918127417564,2.4531e-11,0.13360783457756
35,473.283,0.033466366553137,0.014349537178952,0.4287748762976163,0.032166589051485,3.798e-12,0.145152762532234
36,475.495,0.034390439184224,0.014425124449344,0.4194515915330697,0.033227656036615,1.65e-12,0.137987986207008
37,477.707,0.03458592172496,0.015030562375167,0.4345861444635067,0.03313597291708,6.962e-12,0.139375299215317
38,479.918,0.036389368053758,0.015206046688148,0.41787058971961566,0.035106871277094,7.401e-12,0.145872265100479
39,482.13,0.034111470200945,0.014629525945102,0.42887409598360593,0.032657902687788,8.76e-13,0.143920838832855
40,484.342,0.034497856846419,0.01433318342776,0.41548040191510727,0.033222436904907,0.000541208311915,0.141034841537476
41,486.554,0.033068524698556,0.014339697825122,0.4336358502787447,0.031683959066868,0.000500243157148,0.134437039494514
42,488.766,0.035201223509505,0.014788265715268,0.42010658269519774,0.033921677619219,1.0197e-11,0.140033915638924
