band,wavelength,mean,stdev,stdev/mean,median,min,max
1,398.08,0.042279482927237,0.028365098315805,0.6708951092098581,0.038377765566111,1.46611e-10,0.280860632658005
2,400.292,0.040922351146475,0.027413112090275,0.6698811608393211,0.03798995167017,1.74283e-10,0.396151155233383
3,402.503,0.038136422664441,0.02244890923785,0.5886474836765881,0.037180069833994,2.454e-12,0.124273799359798
4,404.715,0.037679445555813,0.020647662635872,0.5479821247711163,0.036363139748573,2.1663e-11,0.126301288604736
5,406.927,0.038227176590457,0.019763716675282,0.5170069682890418,0.036754786968231,3.7679e-11,0.10925567895174
6,409.139,0.031888470893342,0.016701585022743,0.5237499495853885,0.031076107174158,3.03e-12,0.160745739936829
7,411.351,0.033444935535812,0.016621390209104,0.49697779178872187,0.032699938863516,5.331e-12,0.098469913005829
8,413.563,0.029267618446384,0.014938541075419,0.5104119114708716,0.02865307405591,1.2502e-11,0.090806655585766
9,415.775,0.026033586815804,0.012328838897426,0.47357434780910135,0.02512900531292,7.4207e-11,0.076513111591339
10,417.986,0.026879620518783,0.012781387305312,0.47550475262032044,0.026309238746762,6.281e-12,0.085621610283852
11,420.198,0.025088374121154,0.011380236972268,0.4536059976350727,0.02462805621326,1.2473e-11,0.073558025062084
12,422.41,0.024126073665723,0.010978699402742,0.45505537100054255,0.023642208427191,2.128e-12,0.066044755280018
13,424.622,0.021930178597624,0.009941570651803,0.4533283031666741,0.021743169054389,2.013e-12,0.065538838505745
14,426.834,0.02428265483959,0.010246209121138,0.4219558853356004,0.024148654192686,1.9316e-11,0.059988480061293
15,429.046,0.023808509691888,0.009997158282735,0.41989853258817017,0.023899575695395,2.2587e-11,0.065413787961006
16,431.258,0.025490377450937,0.010622361541405,0.41672044919109397,0.025222364813089,6.4256e-11,0.073989532887936
17,433.469,0.025001752879975,0.01084955786655,0.4339518880390137,0.025153947994113,5.257e-12,0.06707127392292
18,435.681,0.026967154342851,0.011000954488882,0.40793901903848284,0.026842499151826,4.4583e-11,0.069915592670441
19,437.893,0.0281256467497,0.011170280052417,0.3971563801474591,0.028384282253683,3.7999e-11,0.062511667609215
20,440.105,0.030362790442582,0.011613472709898,0.38249029620185365,0.030955640599132,0.00085718074115,0.06754095852375
21,442.317,0.029491770832789,0.011289081418887,0.3827875064842081,0.030081795528531,1.78276e-10,0.063061334192753
22,444.529,0.030553408687061,0.010873624012205,0.3558890637564066,0.031163087114692,0.001355104381219,0.063912279903889
23,446.741,0.029392908382299,0.010666598900486,0.3628970213410266,0.030148651450872,7.384e-12,0.065284036099911
24,448.952,0.03145177024539,0.010724866490245,0.3409940491924134,0.032299660146236,0.001859177835286,0.064364016056061
25,451.164,0.030111959715688,0.010533311686753,0.34980492090872656,0.030925383791327,0.001745970570482,0.062933467328548
26,453.376,0.032387837846671,0.01061757382961,0.3278259536766618,0.033389821648598,0.001537842093967,0.063048288226128
27,455.588,0.031734148642364,0.010780010321483,0.3396974799283588,0.032678738236427,0.001065977965482,0.064582780003548
28,457.8,0.03322675436371,0.010637324943011,0.3201433647888583,0.034161005169153,0.003032277338207,0.063370876014233
