wavelength
398.08
400.292
402.503
404.715
406.927
409.139
411.351
413.563
415.775
417.986
420.198
422.41
424.622
426.834
429.046
431.258
433.469
435.681
437.893
440.105
442.317
444.529
446.741
448.952
451.164
453.376
455.588
457.8
460.012
462.224
464.435
466.647
468.859
471.071
473.283
475.495
477.707
479.918
482.13
484.342
486.554
488.766
490.978
493.189
495.401
497.613
499.825
502.037
504.249
506.461
508.672
510.884
513.096
515.308
517.52
519.732
521.944
524.155
526.367
528.579
530.791
533.003
535.215
537.427
539.638
541.85
544.062
546.274
548.486
550.698
552.91
555.121
557.333
559.545
561.757
563.969
566.181
568.393
570.604
572.816
575.028
577.24
579.452
581.664
583.876
586.087
588.299
590.511
592.723
594.935
597.147
599.359
601.57
603.782
605.994
608.206
610.418
612.63
614.842
617.053
619.265
621.477
623.689
625.901
628.113
630.325
632.536
634.748
636.96
639.172
641.384
643.596
645.808
648.019
650.231
652.443
654.655
656.867
659.079
661.291
663.502
665.714
667.926
670.138
672.35
674.562
676.774
678.985
681.197
683.409
685.621
687.833
690.045
692.257
694.468
696.68
698.892
701.104
703.316
705.528
707.74
709.951
712.163
714.375
716.587
718.799
721.011
723.223
725.434
727.646
729.858
732.07
734.282
736.494
738.706
740.917
743.129
745.341
747.553
749.765
751.977
754.189
756.4
758.612
760.824
763.036
765.248
767.46
769.672
771.883
774.095
776.307
778.519
780.731
782.943
785.155
787.366
789.578
791.79
794.002
796.214
798.426
800.638
802.849
805.061
807.273
809.485
811.697
813.909
816.121
818.332
820.544
822.756
824.968
827.18
829.392
831.604
833.815
836.027
838.239
840.451
842.663
844.875
847.087
849.298
851.51
853.722
855.934
858.146
860.358
862.57
864.781
866.993
869.205
871.417
873.629
875.841
878.053
880.264
882.476
884.688
886.9
889.112
891.324
893.536
895.747
897.959
900.171
902.383
904.595
906.807
909.019
911.23
913.442
915.654
917.866
920.078
922.29
924.502
926.713
928.925
931.137
933.349
935.561
937.773
939.985
942.196
944.408
946.62
948.832
951.044
953.256
955.468
957.679
959.891
962.103
964.315
966.527
968.739
970.951
973.162
975.374
977.586
979.798
982.01
984.222
986.434
988.645
990.857
993.069
995.281
997.493
999.705
1001.92
