band,wavelength,mean,stdev,stdev/mean
116,652.443,0.062487131,0.017762559,0.284259468
117,654.655,0.05972223,0.017322472,0.290050655
118,656.867,0.059585144,0.017008972,0.285456582
119,659.079,0.059495397,0.017481948,0.293836986
120,661.291,0.059809142,0.017111385,0.28609983
121,663.502,0.056900483,0.016690603,0.293329719
122,665.714,0.058219035,0.016687603,0.286634836
123,667.926,0.055347318,0.016386272,0.296062619
124,670.138,0.054683865,0.015860333,0.290036796
125,672.35,0.052429253,0.015695021,0.299356187
126,674.562,0.054062503,0.015816404,0.292557742
127,676.774,0.052214945,0.015723246,0.30112539
128,678.985,0.052383926,0.015361867,0.29325537
129,681.197,0.052409804,0.015957518,0.30447582
130,683.409,0.052931707,0.015519206,0.293192989
131,685.621,0.05303484,0.016131837,0.304174329
132,687.833,0.054553115,0.016035779,0.293947996
133,690.045,0.05501498,0.016485895,0.299661929
134,692.257,0.060928235,0.017552077,0.288077877
135,694.468,0.063364247,0.018486195,0.291744881
136,696.68,0.069128263,0.019286333,0.278993455
137,698.892,0.074561134,0.021010359,0.28178701
138,701.104,0.081058368,0.021990345,0.271290254
139,703.316,0.087080913,0.023750561,0.272741292
140,705.528,0.094453203,0.024888265,0.263498373
141,707.74,0.09636573,0.025379253,0.263363885
142,709.951,0.105493647,0.026819679,0.254230276
143,712.163,0.113663521,0.029028177,0.255386926
144,714.375,0.118945048,0.029249506,0.24590772
145,716.587,0.12437994,0.030801198,0.247637983
146,718.799,0.134770124,0.032271157,0.239453347
147,721.011,0.140481781,0.033861147,0.241035862
148,723.223,0.153112857,0.035449943,0.23152819
149,725.434,0.155669174,0.036210115,0.232609412
150,727.646,0.165649061,0.037173475,0.224411022
151,729.858,0.16880884,0.038156449,0.226033475
152,732.07,0.178622764,0.03911326,0.218971304
153,734.282,0.1856371,0.040809574,0.219835226
154,736.494,0.195003922,0.041489292,0.212761321
155,738.706,0.197856039,0.042642182,0.215521254
156,740.917,0.199697442,0.041847342,0.209553723
157,743.129,0.210035515,0.044649233,0.212579446
158,745.341,0.213066662,0.044023246,0.206617243
159,747.553,0.219666281,0.046330214,0.210911816
160,749.765,0.217675646,0.044481235,0.204346401
161,751.977,0.221519771,0.046231688,0.208702311
162,754.189,0.225475472,0.045822958,0.203228129
163,756.4,0.225727875,0.046770741,0.207199669
164,758.612,0.23975487,0.048492601,0.202259087
165,760.824,0.233058177,0.048450373,0.207889608
166,763.036,0.235735053,0.049052323,0.208082432
167,765.248,0.232809897,0.04929214,0.211726996
168,767.46,0.228238213,0.046816494,0.205121189
169,769.672,0.2272745,0.047214126,0.207740534
170,771.883,0.237267443,0.047884355,0.201815955
171,774.095,0.234255841,0.048255202,0.20599359
172,776.307,0.23830132,0.048234993,0.202411774
173,778.519,0.233100379,0.048077668,0.206253064
174,780.731,0.242489131,0.04899499,0.202050253
175,782.943,0.234026365,0.048127573,0.205650218
176,785.155,0.240182197,0.048575919,0.202246129
177,787.366,0.243214507,0.050069349,0.205864977
178,789.578,0.241487037,0.049062178,0.203166921
179,791.79,0.242737725,0.050202565,0.20681814
180,794.002,0.241530377,0.049007079,0.20290234
181,796.214,0.239575132,0.049465041,0.206469847
182,798.426,0.243153863,0.049353441,0.202972063
183,800.638,0.236339884,0.048766871,0.206342115
184,802.849,0.238849351,0.04823319,0.201939798
185,805.061,0.242654536,0.050167418,0.206744202
186,807.273,0.249100153,0.050787636,0.203884403
187,809.485,0.242333126,0.050267776,0.207432542
188,811.697,0.245876825,0.050393264,0.204953289
189,813.909,0.241892933,0.050459406,0.208602235
190,816.121,0.243490712,0.050392031,0.206956686
191,818.332,0.247143214,0.052121368,0.210895405
192,820.544,0.250414715,0.051852951,0.207068305
193,822.756,0.231693103,0.048916074,0.211124428
194,824.968,0.252847059,0.052352803,0.207053242
195,827.18,0.244626212,0.051631807,0.21106408
196,829.392,0.243968299,0.050666463,0.207676421
197,831.604,0.246613792,0.051986741,0.210802245
198,833.815,0.241432973,0.050208725,0.207961343
199,836.027,0.247358437,0.052101138,0.210630122
200,838.239,0.258061294,0.053723242,0.208180163
201,840.451,0.240021941,0.050647316,0.211011194
202,842.663,0.252543698,0.052432217,0.207616414
203,844.875,0.252217659,0.05305359,0.210348434
204,847.087,0.247859227,0.051366891,0.2072422
205,849.298,0.248447549,0.052173392,0.20999761
206,851.51,0.258446557,0.053889209,0.208512003
207,853.722,0.259733523,0.054854663,0.21119593
208,855.934,0.257980819,0.054259574,0.210324061
209,858.146,0.254498849,0.053839843,0.211552403
210,860.358,0.258961133,0.054085718,0.208856508
211,862.57,0.259388795,0.055102981,0.212433929
212,864.781,0.252734962,0.053000094,0.209706222
213,866.993,0.253927216,0.05376818,0.211746425
214,869.205,0.256217636,0.053413122,0.20846778
215,871.417,0.246935164,0.052559812,0.212848634
216,873.629,0.250838136,0.052663617,0.2099506
217,875.841,0.264987599,0.056368603,0.212721665
218,878.053,0.255029536,0.053732945,0.210693025
219,880.264,0.257672486,0.055081941,0.213767257
220,882.476,0.260341543,0.054785215,0.210435933
221,884.688,0.242986847,0.05220825,0.214860396
222,886.9,0.251391114,0.052962085,0.21067604
223,889.112,0.259861097,0.055900878,0.215118302
224,891.324,0.253769489,0.053728051,0.211719899
225,893.536,0.253715162,0.05427816,0.213933448
226,895.747,0.256370297,0.05454699,0.21276642
227,897.959,0.255451041,0.055058062,0.215532738
228,900.171,0.262801741,0.056252547,0.214049368
229,902.383,0.250572306,0.054729643,0.218418563
230,904.595,0.242982625,0.052318893,0.215319483
231,906.807,0.258546172,0.056532112,0.218653834
232,909.019,0.250455073,0.054871575,0.219087495
233,911.23,0.252576443,0.056401087,0.223303039
234,913.442,0.261419939,0.057353286,0.219391398
235,915.654,0.263933586,0.058407664,0.221296824
236,917.866,0.247149193,0.053722991,0.217370693
237,920.078,0.241530721,0.053341251,0.220846651
238,922.29,0.247735661,0.054191649,0.218747871
239,924.502,0.260785489,0.05764576,0.221046656
240,926.713,0.258107475,0.056343206,0.218293587
241,928.925,0.238034889,0.052205282,0.219317775
242,931.137,0.267254731,0.058989805,0.220725018
243,933.349,0.256653481,0.058536657,0.228076614
244,935.561,0.242787063,0.063537205,0.261699304
245,937.773,0.242386726,0.060443795,0.249369245
246,939.985,0.250229164,0.068012483,0.271800783
247,942.196,0.254138756,0.064966702,0.255634767
248,944.408,0.257220953,0.065098024,0.253082119
249,946.62,0.248200178,0.06070475,0.2445798
250,948.832,0.240014124,0.062055898,0.258551026
251,951.044,0.247570663,0.064282179,0.259651845
252,953.256,0.278610522,0.074763181,0.268342992
253,955.468,0.257023433,0.066906675,0.260313521
254,957.679,0.233705654,0.062749254,0.268496945
255,959.891,0.229287076,0.058163634,0.253671663
256,962.103,0.274841104,0.071073978,0.25860025
257,964.315,0.246018286,0.063315962,0.257362829
258,966.527,0.208822544,0.054039716,0.258782961
259,968.739,0.24151656,0.061508105,0.254674481
260,970.951,0.245971914,0.061814682,0.251307887
261,973.162,0.240709111,0.059039902,0.245274896
262,975.374,0.273808754,0.068683353,0.250844254
263,977.586,0.230833814,0.058110097,0.251739968
264,979.798,0.255170707,0.06452457,0.252868249
265,982.01,0.282531914,0.070950436,0.251123617
266,984.222,0.24609633,0.064481086,0.262015632
267,986.434,0.258336298,0.063563747,0.246050389
268,988.645,0.217835617,0.055409634,0.254364437
269,990.857,0.229681997,0.057299663,0.249473898
270,993.069,0.23009786,0.057964277,0.251911414
271,995.281,0.253341204,0.062493109,0.246675659
272,997.493,0.261046219,0.06632788,0.254084814
273,999.705,0.261563495,0.064619335,0.247050281
274,1001.92,0.262049983,0.067589602,0.257926375
