band,wavelength,mean,stdev,stdev/mean,median,min,max
1,398.08,0.056475069,0.042982621,0.761090188,0.048863288,3.498e-12,1.429462194
2,400.292,0.049784643,0.03767447,0.756748839,0.043993376,5.564e-12,1.767456055
3,402.503,0.044379635,0.039756781,0.895833885,0.039941868,3.71e-12,2.578420162
4,404.715,0.031563769,0.019010653,0.602293487,0.029286206,1.4181e-11,0.584515691
5,406.927,0.034580851,0.023256028,0.672511734,0.032297708,2.155e-12,1.326036692
6,409.139,0.030999984,0.018621225,0.600685004,0.029132859,2.346e-12,0.5861637
7,411.351,0.027565401,0.015000882,0.544192422,0.026274579,7.4e-14,0.233383283
8,413.563,0.027061752,0.015504366,0.572925438,0.025787992,5.295e-12,0.897558749
9,415.775,0.024967407,0.013083196,0.524010981,0.023967734,3.5e-14,0.294824719
10,417.986,0.025286065,0.012957827,0.5124493,0.024353974,6.701e-12,0.228942782
11,420.198,0.02148892,0.010770129,0.501194495,0.020845369,1.01e-13,0.202624023
12,422.41,0.024657166,0.012257015,0.49709748,0.023903502,7.99e-13,0.200569212
13,424.622,0.021391711,0.012624294,0.590148846,0.020820575,5.41e-13,1.871907473
14,426.834,0.021884019,0.010475789,0.478695839,0.021330845,1.09e-13,0.173908532
15,429.046,0.022755128,0.010694592,0.469986014,0.022337222,1.41e-13,0.224369317
16,431.258,0.023357318,0.010932826,0.468068543,0.022923756,4.57e-13,0.170772985
17,433.469,0.022034124,0.010176644,0.46185833,0.021724036,3.6e-13,0.166081727
18,435.681,0.024468234,0.011377552,0.46499279,0.023968924,1.38e-13,0.158391684
19,437.893,0.023241889,0.010996987,0.473153729,0.022937045,1.843e-12,0.491259366
20,440.105,0.025875567,0.011286862,0.436197669,0.025634995,1.025e-12,0.144644827
21,442.317,0.025997273,0.011321611,0.435492241,0.025962332,1.98e-13,0.125334904
22,444.529,0.027510048,0.011681671,0.424632886,0.027442576,2.396e-12,0.129106283
23,446.741,0.026143687,0.011043794,0.422426802,0.026218446,1.1224e-11,0.118592195
24,448.952,0.028607504,0.011812302,0.412909229,0.028676367,1.2606e-11,0.118651852
25,451.164,0.026449403,0.010813118,0.408822762,0.026597342,4.85e-12,0.113154158
26,453.376,0.029269489,0.011758463,0.401731073,0.029393246,2.314e-12,0.126226634
27,455.588,0.026910803,0.010802142,0.40140541,0.027125847,2.415e-12,0.113477312
28,457.8,0.029647633,0.011615543,0.391786506,0.029819304,9.917e-12,0.119915426
29,460.012,0.028815688,0.011347611,0.393799761,0.029118359,1.943e-12,0.121634834
30,462.224,0.030294456,0.011758522,0.388141039,0.030512117,1.352e-12,0.130307183
31,464.435,0.028875007,0.011295024,0.391169554,0.029137786,1.532e-12,0.125288591
32,466.647,0.028812801,0.011104499,0.385401577,0.02903145,4.271e-12,0.121375754
33,468.859,0.028015547,0.010920971,0.389818235,0.028307687,7.56e-13,0.11386548
34,471.071,0.030321723,0.011551306,0.380958097,0.030558661,8.822e-12,0.134535894
35,473.283,0.028894793,0.011187632,0.387185057,0.029217869,1.472e-12,0.124632299
36,475.495,0.030323908,0.011424477,0.376748192,0.030563764,1.7e-12,0.130319625
37,477.707,0.029167431,0.011232724,0.385111866,0.029484374,9.942e-12,0.134832785
38,479.918,0.030138216,0.011296596,0.374826305,0.030380918,4.312e-12,0.127028823
39,482.13,0.029417406,0.011293314,0.383899052,0.029684974,4.19e-13,0.129512623
40,484.342,0.030310889,0.011281151,0.372181473,0.030546151,4.1157e-11,0.126178965
41,486.554,0.029702874,0.011263394,0.379202145,0.030065678,9.67e-13,0.126143456
42,488.766,0.031363291,0.01171944,0.373667418,0.031628665,9.243e-12,0.135123894
43,490.978,0.030029949,0.011497348,0.382862729,0.03031663,1.376e-12,0.130291909
44,493.189,0.030724351,0.011439697,0.372333227,0.030946329,1.3248e-11,0.131536052
45,495.401,0.030553233,0.011718429,0.383541376,0.030793151,4.099e-12,0.136303499
46,497.613,0.03165821,0.011671458,0.368670813,0.031850129,1.619e-12,0.129929081
47,499.825,0.031617794,0.011921265,0.377042908,0.031899951,1.216e-12,0.130761147
48,502.037,0.033581694,0.01229464,0.36611137,0.033827856,1.5157e-11,0.137211651
49,504.249,0.032399429,0.01214549,0.374867429,0.032663237,9.09e-13,0.136850938
50,506.461,0.034413278,0.012582788,0.365637577,0.034622438,1.151e-11,0.133336529
