band,wavelength,mean,stdev,stdev/mean,Unnamed: 5,Unnamed: 6,Unnamed: 7
102,621.477,0.077539446,0.017941794,0.231389242,,,
103,623.689,0.078512,0.018512943,0.235797626,,,
104,625.901,0.076570293,0.017992085,0.234974743,,,
105,628.113,0.07635033,0.01823549,0.238839697,,,
106,630.325,0.077259515,0.018306922,0.236953624,,,
107,632.536,0.076207994,0.018345716,0.240732174,,,
108,634.748,0.076769476,0.018285488,0.238186954,,,
109,636.96,0.076018886,0.01838992,0.241912513,,,
110,639.172,0.076264782,0.01829262,0.239856717,,,
111,641.384,0.076505501,0.018664319,0.24396048,,,
112,643.596,0.07624502,0.018497938,0.242611758,,,
113,645.808,0.075009614,0.018599143,0.24795679,,,
114,648.019,0.075668884,0.01874847,0.24776987,,,
115,650.231,0.073508684,0.018688667,0.254237533,,,
116,652.443,0.074861472,0.019007227,0.253898655,,,
117,654.655,0.07219552,0.018771309,0.260006559,,,
118,656.867,0.0711815,0.018512738,0.260077941,,,
119,659.079,0.07175734,0.019153358,0.266918448,,,
120,661.291,0.071164211,0.01908777,0.268221476,,,
121,663.502,0.068288214,0.018914922,0.27698662,,,
122,665.714,0.068831798,0.019207247,0.279046125,,,
123,667.926,0.066038645,0.019053843,0.288525644,,,
124,670.138,0.064534625,0.018686896,0.289563868,,,
125,672.35,0.062652182,0.018720948,0.298807602,,,
126,674.562,0.063762059,0.019053339,0.298819383,,,
127,676.774,0.062532649,0.019128381,0.305894305,,,
128,678.985,0.062046865,0.018859898,0.303962137,,,
129,681.197,0.062750727,0.019358303,0.308495272,,,
130,683.409,0.062801633,0.01909483,0.304049891,,,
131,685.621,0.063737396,0.019458836,0.305297001,,,
132,687.833,0.064851339,0.01918973,0.295903383,,,
133,690.045,0.066641588,0.019335633,0.290143643,,,
134,692.257,0.073098592,0.020016722,0.273831838,,,
135,694.468,0.076777078,0.020240585,0.263627964,,,
136,696.68,0.083073549,0.020493979,0.246696798,,,
137,698.892,0.08996563,0.021506463,0.239051988,,,
138,701.104,0.096741757,0.021880687,0.226176239,,,
139,703.316,0.104231258,0.023199896,0.222580982,,,
140,705.528,0.111751028,0.023836611,0.213301047,,,
141,707.74,0.113535466,0.024080751,0.212098929,,,
142,709.951,0.122771951,0.02524302,0.205609013,,,
143,712.163,0.131984884,0.027264129,0.206570085,,,
144,714.375,0.136085411,0.027392806,0.201291277,,,
145,716.587,0.141672071,0.028771099,0.203082361,,,
146,718.799,0.151131002,0.030190728,0.19976529,,,
147,721.011,0.156208658,0.03151695,0.201761863,,,
148,723.223,0.167298429,0.033243555,0.198708111,,,
149,725.434,0.168158975,0.033839664,0.201236147,,,
150,727.646,0.175964729,0.034711899,0.197266234,,,
151,729.858,0.177068234,0.035525153,0.200629734,,,
152,732.07,0.184750596,0.036527324,0.197711536,,,
153,734.282,0.189905675,0.03810748,0.200665303,,,
154,736.494,0.197095072,0.038844322,0.197084185,,,
155,738.706,0.197985076,0.039684997,0.200444389,,,
156,740.917,0.197448963,0.038746021,0.196233095,,,
157,743.129,0.206083259,0.041240851,0.200117423,,,
158,745.341,0.207469307,0.040722063,0.196279942,,,
159,747.553,0.212614853,0.042501085,0.199897066,,,
160,749.765,0.209321564,0.041068577,0.196198501,,,
161,751.977,0.212375024,0.04254265,0.200318519,,,
162,754.189,0.215074201,0.042297465,0.196664521,,,
163,756.4,0.214866891,0.043045079,0.200333701,,,
164,758.612,0.226429465,0.044460425,0.196354416,,,
165,760.824,0.218843681,0.043966477,0.200903571,,,
166,763.036,0.220189982,0.044304358,0.20120969,,,
167,765.248,0.219341168,0.044607084,0.203368498,,,
168,767.46,0.2151285,0.043623182,0.202777325,,,
169,769.672,0.213909696,0.043663401,0.204120721,,,
170,771.883,0.22260052,0.043732298,0.196460898,,,
171,774.095,0.219558368,0.04381531,0.199561102,,,
172,776.307,0.223366435,0.043806728,0.196120461,,,
173,778.519,0.218343767,0.04347598,0.199117111,,,
174,780.731,0.226578669,0.044305702,0.195542247,,,
175,782.943,0.218938983,0.043445493,0.198436533,,,
176,785.155,0.224327934,0.043828544,0.195377114,,,
177,787.366,0.227280698,0.045075886,0.198326944,,,
178,789.578,0.22507277,0.043936421,0.195209845,,,
179,791.79,0.22632658,0.044922572,0.198485621,,,
180,794.002,0.225000067,0.043987116,0.195498233,,,
181,796.214,0.223733279,0.044414299,0.198514495,,,
182,798.426,0.226915271,0.044459622,0.1959305,,,
183,800.638,0.22067642,0.04378309,0.198404025,,,
184,802.849,0.22240064,0.043062748,0.193626907,,,
185,805.061,0.225958891,0.044671458,0.197697277,,,
186,807.273,0.23156567,0.04515309,0.194990431,,,
187,809.485,0.225290399,0.044501345,0.197528815,,,
188,811.697,0.228400255,0.044640647,0.195449199,,,
189,813.909,0.224360098,0.044298247,0.197442624,,,
190,816.121,0.225588505,0.044459734,0.197083329,,,
191,818.332,0.229391896,0.045708779,0.199260652,,,
192,820.544,0.23282894,0.046107196,0.198030348,,,
193,822.756,0.215722572,0.043305324,0.200745447,,,
194,824.968,0.235486017,0.046430502,0.19716883,,,
195,827.18,0.227814205,0.045586541,0.200104034,,,
196,829.392,0.226720632,0.044597851,0.196708391,,,
197,831.604,0.229379238,0.045737832,0.199398308,,,
198,833.815,0.22429251,0.044126009,0.196734206,,,
199,836.027,0.22955131,0.045894486,0.199931277,,,
200,838.239,0.239745747,0.04704897,0.196245277,,,
201,840.451,0.223037374,0.044417612,0.199148741,,,
202,842.663,0.23479269,0.046158165,0.196591152,,,
203,844.875,0.23458223,0.046736954,0.199234843,,,
204,847.087,0.230495193,0.04534388,0.196723756,,,
205,849.298,0.231031036,0.045865633,0.19852585,,,
206,851.51,0.239896089,0.047094919,0.196313827,,,
207,853.722,0.241051474,0.047655161,0.197697034,,,
208,855.934,0.239025573,0.04693137,0.196344555,,,
209,858.146,0.236646635,0.046995561,0.198589602,,,
210,860.358,0.240809469,0.047296316,0.19640555,,,
211,862.57,0.240295972,0.047630497,0.198215961,,,
212,864.781,0.234757883,0.046044403,0.196135707,,,
213,866.993,0.235719127,0.0467074,0.198148536,,,
214,869.205,0.238516477,0.047028992,0.197172928,,,
215,871.417,0.230183303,0.045920795,0.199496639,,,
216,873.629,0.233776127,0.045961586,0.196605129,,,
217,875.841,0.24619806,0.048823843,0.198311243,,,
218,878.053,0.236554947,0.046484516,0.19650621,,,
219,880.264,0.239514351,0.047577824,0.198642893,,,
