band,wavelength,mean,stdev,stdev/mean
116,652.443,0.003359491,0.00795102,2.366733407
117,654.655,0.003053459,0.007262026,2.378294464
118,656.867,0.003160887,0.007473292,2.364302068
119,659.079,0.002946596,0.007034913,2.38747132
120,661.291,0.003019941,0.007181905,2.378160789
121,663.502,0.002691215,0.006485612,2.409919849
122,665.714,0.002935467,0.006973689,2.375665738
123,667.926,0.00254779,0.006141023,2.410333876
124,670.138,0.002647835,0.00631602,2.3853523
125,672.35,0.002386914,0.00573426,2.402373662
126,674.562,0.002580042,0.006162511,2.388531145
127,676.774,0.002362572,0.005691739,2.409128537
128,678.985,0.002464253,0.005912458,2.39929035
129,681.197,0.002398499,0.005781445,2.410442655
130,683.409,0.002587792,0.006182604,2.389142714
131,685.621,0.002461046,0.005952297,2.418604983
132,687.833,0.002812257,0.006686014,2.377454578
133,690.045,0.002677335,0.006471317,2.41707459
134,692.257,0.00325061,0.007771917,2.39091006
135,694.468,0.00349753,0.008337878,2.383933557
136,696.68,0.004280296,0.010094377,2.358336162
137,698.892,0.004920886,0.011596613,2.3566107
138,701.104,0.00593146,0.013873633,2.33899119
139,703.316,0.006857132,0.016039355,2.339076348
140,705.528,0.008070022,0.018761728,2.324866975
141,707.74,0.008658712,0.02013467,2.325365519
142,709.951,0.010034583,0.023223993,2.314395403
143,712.163,0.011308591,0.026210141,2.317719346
144,714.375,0.012322338,0.028472995,2.310681313
145,716.587,0.013339546,0.03083257,2.31136584
146,718.799,0.01498662,0.03458767,2.30790324
147,721.011,0.015819225,0.036499372,2.307279391
148,723.223,0.017433028,0.040185105,2.305113293
149,725.434,0.018163813,0.041845932,2.303807727
150,727.646,0.01966244,0.045248692,2.301275506
151,729.858,0.020159434,0.046400015,2.301652609
152,732.07,0.021673825,0.04982978,2.299076427
153,734.282,0.022657873,0.052101042,2.299467496
154,736.494,0.024156474,0.055476258,2.29653791
155,738.706,0.024750492,0.056875885,2.297969881
156,740.917,0.025127835,0.057673842,2.295217274
157,743.129,0.026512662,0.060871644,2.295946166
158,745.341,0.027073674,0.062095666,2.293581067
